Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
poor,3,medium,medium,no,poor,medium,system developer,Service Based,Technical,hard worker,Technical Support
poor,2,excellent,medium,yes,excellent,poor,security,SAaS services,Technical,smart worker,Applications Developer
excellent,3,medium,poor,no,medium,excellent,developer,BPA,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,3,medium,poor,no,poor,medium,system developer,Sales and Marketing,Technical,hard worker,CRM Technical Developer
poor,5,excellent,excellent,yes,poor,medium,developer,SAaS services,Technical,smart worker,Systems Security Administrator
medium,4,excellent,poor,yes,poor,excellent,testing,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
excellent,2,excellent,medium,no,poor,poor,Business process analyst,Web Services,Management,smart worker,Mobile Applications Developer
poor,0,medium,poor,yes,excellent,medium,system developer,Web Services,Technical,smart worker,Web Developer
poor,0,excellent,medium,no,excellent,medium,developer,SAaS services,Management,smart worker,Software Engineer
poor,0,excellent,excellent,no,medium,medium,security,SAaS services,Management,hard worker,Systems Security Administrator
medium,5,poor,excellent,no,medium,poor,cloud computing,Product based,Technical,smart worker,Network Security Engineer
excellent,4,excellent,poor,yes,excellent,medium,security,Service Based,Management,smart worker,Network Security Engineer
excellent,1,medium,medium,yes,poor,medium,testing,SAaS services,Technical,hard worker,Database Developer
excellent,0,poor,medium,yes,poor,poor,Business process analyst,Product based,Management,hard worker,Applications Developer
excellent,2,excellent,medium,no,poor,poor,Business process analyst,product development,Technical,hard worker,UX Designer
poor,6,medium,medium,no,poor,excellent,Business process analyst,Testing and Maintainance Services,Technical,hard worker,Database Developer
excellent,6,medium,medium,no,poor,medium,system developer,product development,Management,smart worker,Web Developer
excellent,5,medium,medium,yes,poor,medium,Business process analyst,Cloud Services,Technical,hard worker,Database Developer
poor,0,poor,excellent,no,medium,medium,security,Finance,Management,hard worker,Technical Support
medium,4,medium,medium,no,poor,poor,testing,product development,Technical,hard worker,Systems Security Administrator
poor,6,medium,excellent,yes,poor,poor,security,BPA,Management,smart worker,Software Engineer
excellent,1,poor,medium,yes,medium,poor,security,Web Services,Management,smart worker,Web Developer
poor,3,excellent,medium,no,poor,poor,Business process analyst,Cloud Services,Technical,smart worker,Software Developer
medium,2,excellent,medium,no,medium,excellent,Business process analyst,Sales and Marketing,Technical,smart worker,Web Developer
medium,1,medium,poor,no,excellent,excellent,developer,Sales and Marketing,Technical,smart worker,Web Developer
medium,2,poor,excellent,no,medium,medium,Business process analyst,Web Services,Technical,hard worker,CRM Technical Developer
excellent,3,poor,poor,no,medium,poor,system developer,Cloud Services,Technical,hard worker,Technical Support
excellent,2,poor,excellent,yes,poor,medium,testing,Testing and Maintainance Services,Management,hard worker,Network Security Engineer
medium,3,medium,poor,yes,excellent,excellent,system developer,Product based,Management,smart worker,Software Engineer
medium,1,poor,poor,yes,excellent,medium,testing,Sales and Marketing,Technical,smart worker,Software Developer
excellent,3,excellent,excellent,yes,excellent,medium,system developer,Cloud Services,Technical,hard worker,Software Developer
poor,2,poor,medium,no,excellent,poor,system developer,Testing and Maintainance Services,Management,smart worker,Network Security Engineer
excellent,4,medium,medium,no,medium,excellent,security,Cloud Services,Management,smart worker,Applications Developer
medium,3,excellent,excellent,no,poor,poor,Business process analyst,Finance,Technical,hard worker,Systems Security Administrator
medium,4,excellent,medium,no,medium,poor,system developer,SAaS services,Management,hard worker,Systems Security Administrator
medium,1,poor,medium,no,excellent,medium,cloud computing,Finance,Technical,smart worker,Database Developer
medium,2,poor,excellent,no,medium,excellent,Business process analyst,Finance,Management,hard worker,Web Developer
medium,0,medium,excellent,yes,medium,poor,Business process analyst,Cloud Services,Management,hard worker,Software Engineer
medium,5,excellent,poor,yes,poor,poor,system developer,Service Based,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,6,excellent,medium,no,poor,poor,security,Testing and Maintainance Services,Technical,hard worker,Database Developer
medium,6,poor,excellent,no,poor,medium,security,Sales and Marketing,Management,smart worker,Network Security Engineer
poor,4,poor,poor,yes,poor,medium,cloud computing,Web Services,Technical,smart worker,Applications Developer
excellent,5,poor,medium,no,excellent,medium,testing,Cloud Services,Management,smart worker,Network Security Engineer
medium,1,poor,excellent,no,medium,excellent,developer,Product based,Management,smart worker,Mobile Applications Developer
excellent,3,excellent,poor,no,excellent,medium,cloud computing,Service Based,Management,hard worker,UX Designer
excellent,1,poor,poor,no,excellent,excellent,security,BPA,Management,smart worker,Network Security Engineer
excellent,0,excellent,excellent,no,excellent,medium,security,Product based,Management,smart worker,Software Developer
excellent,6,excellent,poor,yes,poor,excellent,cloud computing,Sales and Marketing,Management,smart worker,Software Developer
poor,3,poor,excellent,no,poor,medium,security,Web Services,Management,smart worker,Technical Support
poor,6,medium,poor,yes,poor,excellent,Business process analyst,Finance,Technical,smart worker,Web Developer
medium,6,excellent,excellent,no,poor,excellent,testing,Finance,Technical,hard worker,CRM Technical Developer
medium,2,poor,medium,no,poor,poor,security,Sales and Marketing,Technical,smart worker,Software Engineer
medium,1,poor,poor,no,excellent,excellent,cloud computing,Finance,Management,hard worker,Network Security Engineer
excellent,3,medium,excellent,yes,medium,poor,developer,product development,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,4,medium,excellent,yes,medium,medium,cloud computing,BPA,Technical,smart worker,Software Developer
medium,2,excellent,poor,no,excellent,excellent,Business process analyst,Web Services,Technical,smart worker,Applications Developer
medium,6,excellent,excellent,yes,medium,poor,Business process analyst,Product based,Technical,hard worker,Database Developer
excellent,5,poor,poor,no,medium,poor,security,SAaS services,Management,smart worker,Systems Security Administrator
medium,2,medium,poor,yes,medium,medium,security,product development,Management,smart worker,Mobile Applications Developer
medium,5,excellent,excellent,no,medium,excellent,security,Sales and Marketing,Management,smart worker,Web Developer
poor,2,excellent,excellent,no,poor,excellent,security,Testing and Maintainance Services,Management,hard worker,Software Developer
medium,6,poor,poor,no,poor,medium,Business process analyst,Finance,Management,hard worker,Mobile Applications Developer
poor,4,poor,medium,no,medium,excellent,security,Product based,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,2,excellent,excellent,yes,poor,medium,Business process analyst,Service Based,Technical,hard worker,CRM Technical Developer
poor,4,medium,excellent,no,poor,medium,cloud computing,SAaS services,Technical,hard worker,Database Developer
medium,6,excellent,poor,no,excellent,medium,Business process analyst,Sales and Marketing,Technical,smart worker,Applications Developer
medium,4,excellent,medium,yes,excellent,medium,developer,Cloud Services,Technical,smart worker,Software Engineer
excellent,4,excellent,excellent,yes,excellent,excellent,cloud computing,BPA,Management,hard worker,CRM Technical Developer
poor,1,poor,poor,no,poor,excellent,security,Testing and Maintainance Services,Management,smart worker,Mobile Applications Developer
medium,2,poor,excellent,yes,excellent,medium,Business process analyst,SAaS services,Management,smart worker,Network Security Engineer
excellent,5,excellent,medium,yes,excellent,poor,testing,SAaS services,Management,hard worker,Software Engineer
poor,6,poor,excellent,no,poor,medium,security,Sales and Marketing,Technical,smart worker,Technical Support
medium,1,excellent,poor,yes,excellent,poor,system developer,Sales and Marketing,Technical,hard worker,CRM Technical Developer
excellent,6,poor,poor,no,medium,medium,developer,Cloud Services,Management,smart worker,Systems Security Administrator
medium,3,excellent,medium,no,medium,excellent,security,Product based,Management,hard worker,Applications Developer
medium,5,poor,medium,no,excellent,poor,cloud computing,Finance,Management,hard worker,Database Developer
excellent,2,poor,excellent,yes,poor,excellent,testing,Service Based,Management,hard worker,Applications Developer
excellent,4,poor,poor,yes,medium,excellent,cloud computing,BPA,Technical,hard worker,Mobile Applications Developer
poor,1,medium,poor,yes,medium,medium,Business process analyst,Service Based,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,4,poor,poor,no,medium,medium,developer,Web Services,Management,smart worker,UX Designer
medium,4,excellent,excellent,no,medium,medium,system developer,Web Services,Management,hard worker,Technical Support
medium,3,medium,excellent,no,excellent,excellent,testing,Product based,Management,smart worker,Mobile Applications Developer
excellent,6,medium,medium,no,excellent,medium,testing,SAaS services,Management,smart worker,Database Developer
excellent,1,medium,medium,no,excellent,excellent,system developer,SAaS services,Management,hard worker,Software Developer
medium,3,poor,excellent,yes,excellent,poor,cloud computing,Product based,Technical,hard worker,Software Engineer
excellent,1,poor,medium,no,excellent,medium,cloud computing,Service Based,Management,smart worker,Software Engineer
excellent,2,excellent,poor,yes,poor,poor,testing,BPA,Technical,smart worker,Network Security Engineer
poor,1,poor,poor,no,medium,medium,developer,Web Services,Technical,hard worker,Mobile Applications Developer
medium,4,poor,medium,no,excellent,medium,Business process analyst,Testing and Maintainance Services,Management,smart worker,UX Designer
medium,0,excellent,excellent,no,excellent,poor,security,Testing and Maintainance Services,Management,hard worker,Software Developer
medium,1,medium,medium,no,excellent,poor,system developer,Product based,Management,hard worker,UX Designer
poor,5,poor,poor,no,medium,medium,developer,Testing and Maintainance Services,Technical,smart worker,Software Engineer
excellent,6,medium,poor,no,medium,excellent,security,Service Based,Management,smart worker,Software Developer
medium,2,excellent,poor,no,excellent,medium,security,Sales and Marketing,Management,hard worker,Software Developer
poor,2,poor,excellent,yes,medium,poor,security,BPA,Technical,hard worker,Applications Developer
poor,5,poor,medium,no,excellent,excellent,testing,Web Services,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,5,medium,excellent,yes,poor,medium,cloud computing,Product based,Management,smart worker,CRM Technical Developer
medium,2,medium,poor,yes,excellent,medium,testing,Cloud Services,Technical,smart worker,Web Developer
excellent,0,medium,poor,no,poor,medium,security,product development,Management,hard worker,Applications Developer
excellent,0,excellent,poor,yes,medium,poor,developer,Product based,Management,smart worker,Systems Security Administrator
poor,5,medium,excellent,yes,medium,excellent,security,BPA,Technical,hard worker,Web Developer
medium,5,medium,excellent,yes,medium,medium,developer,Sales and Marketing,Technical,hard worker,Systems Security Administrator
excellent,0,medium,poor,no,medium,excellent,cloud computing,Product based,Technical,smart worker,Database Developer
medium,1,medium,poor,yes,poor,poor,developer,SAaS services,Technical,smart worker,Database Developer
medium,1,medium,medium,no,excellent,excellent,testing,Testing and Maintainance Services,Management,smart worker,Network Security Engineer
medium,6,excellent,poor,yes,medium,excellent,security,Web Services,Technical,smart worker,Software Engineer
poor,5,poor,medium,no,excellent,poor,system developer,Service Based,Technical,smart worker,Applications Developer
excellent,0,excellent,poor,no,medium,excellent,testing,Sales and Marketing,Management,smart worker,Mobile Applications Developer
medium,6,medium,poor,yes,poor,medium,Business process analyst,Product based,Management,hard worker,CRM Technical Developer
medium,5,excellent,poor,yes,excellent,poor,security,SAaS services,Management,smart worker,Network Security Engineer
medium,5,medium,medium,yes,excellent,excellent,security,Finance,Management,hard worker,Mobile Applications Developer
medium,0,excellent,medium,yes,medium,medium,Business process analyst,Cloud Services,Technical,hard worker,Software Developer
medium,1,poor,medium,no,poor,excellent,security,Cloud Services,Management,smart worker,Systems Security Administrator
medium,0,poor,poor,yes,excellent,medium,system developer,product development,Management,smart worker,CRM Technical Developer
medium,2,poor,excellent,no,excellent,excellent,security,BPA,Technical,hard worker,Applications Developer
medium,2,medium,excellent,no,excellent,poor,Business process analyst,Testing and Maintainance Services,Management,smart worker,Mobile Applications Developer
poor,5,medium,medium,yes,medium,poor,security,Finance,Technical,smart worker,Technical Support
poor,6,poor,medium,yes,poor,medium,testing,product development,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,medium,no,medium,excellent,developer,Finance,Management,hard worker,Mobile Applications Developer
medium,1,poor,poor,yes,excellent,excellent,system developer,Service Based,Management,hard worker,Network Security Engineer
excellent,6,poor,excellent,no,medium,excellent,Business process analyst,Finance,Technical,hard worker,Software Engineer
excellent,0,excellent,excellent,yes,excellent,poor,testing,Service Based,Technical,smart worker,UX Designer
poor,0,poor,poor,yes,poor,medium,Business process analyst,Cloud Services,Technical,smart worker,UX Designer
excellent,4,excellent,excellent,no,excellent,medium,developer,Cloud Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,medium,poor,yes,poor,excellent,Business process analyst,Product based,Technical,hard worker,Mobile Applications Developer
poor,5,excellent,medium,yes,poor,poor,security,SAaS services,Technical,smart worker,CRM Technical Developer
poor,4,excellent,poor,yes,medium,medium,security,BPA,Technical,smart worker,Network Security Engineer
poor,1,excellent,excellent,no,excellent,poor,cloud computing,Service Based,Management,smart worker,Software Engineer
excellent,4,excellent,medium,yes,excellent,excellent,Business process analyst,Cloud Services,Management,smart worker,Software Engineer
poor,0,poor,poor,yes,medium,poor,cloud computing,Service Based,Technical,hard worker,UX Designer
medium,0,excellent,medium,no,poor,medium,system developer,Sales and Marketing,Management,smart worker,Database Developer
poor,4,excellent,medium,yes,medium,excellent,testing,Sales and Marketing,Management,hard worker,Technical Support
poor,6,poor,excellent,no,poor,poor,cloud computing,Testing and Maintainance Services,Management,hard worker,Network Security Engineer
excellent,2,excellent,poor,no,poor,excellent,security,Sales and Marketing,Technical,smart worker,Technical Support
medium,5,medium,excellent,yes,medium,medium,Business process analyst,Web Services,Technical,hard worker,UX Designer
excellent,3,excellent,poor,no,poor,medium,system developer,BPA,Technical,smart worker,Software Engineer
excellent,3,excellent,poor,no,poor,medium,Business process analyst,BPA,Technical,hard worker,Applications Developer
excellent,1,poor,poor,yes,excellent,medium,testing,SAaS services,Management,smart worker,Web Developer
medium,6,poor,poor,no,medium,excellent,Business process analyst,BPA,Management,hard worker,Software Developer
excellent,2,medium,medium,no,excellent,excellent,cloud computing,BPA,Management,hard worker,Technical Support
excellent,0,poor,medium,no,poor,excellent,testing,Product based,Management,hard worker,Web Developer
poor,3,poor,medium,no,excellent,medium,developer,product development,Management,hard worker,Web Developer
medium,4,excellent,excellent,no,poor,excellent,testing,BPA,Technical,smart worker,Software Developer
poor,5,excellent,excellent,yes,excellent,poor,developer,Product based,Technical,hard worker,Software Engineer
poor,6,excellent,excellent,no,excellent,poor,testing,Sales and Marketing,Technical,smart worker,CRM Technical Developer
poor,2,medium,excellent,yes,excellent,excellent,system developer,Finance,Technical,smart worker,Applications Developer
poor,4,medium,poor,no,medium,medium,system developer,Finance,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,6,medium,excellent,yes,poor,excellent,cloud computing,Cloud Services,Management,hard worker,Software Developer
medium,5,poor,excellent,yes,excellent,excellent,system developer,Service Based,Technical,smart worker,Web Developer
poor,3,excellent,poor,yes,poor,poor,Business process analyst,SAaS services,Technical,hard worker,CRM Technical Developer
poor,0,poor,medium,yes,poor,excellent,cloud computing,SAaS services,Management,hard worker,Software Engineer
poor,6,excellent,excellent,yes,excellent,excellent,Business process analyst,Web Services,Technical,hard worker,Web Developer
poor,4,medium,excellent,no,excellent,excellent,developer,Product based,Technical,smart worker,Technical Support
poor,6,medium,medium,yes,poor,excellent,developer,Cloud Services,Management,smart worker,Web Developer
poor,1,excellent,poor,no,excellent,excellent,developer,Sales and Marketing,Management,smart worker,Applications Developer
excellent,4,medium,medium,yes,poor,medium,security,BPA,Management,hard worker,Network Security Engineer
poor,6,poor,medium,no,excellent,poor,developer,Product based,Management,smart worker,Software Engineer
poor,2,excellent,excellent,no,poor,medium,developer,Testing and Maintainance Services,Management,hard worker,Network Security Engineer
medium,6,excellent,excellent,yes,medium,medium,security,product development,Management,hard worker,Systems Security Administrator
excellent,0,excellent,poor,no,poor,medium,testing,Service Based,Technical,hard worker,Network Security Engineer
poor,3,poor,excellent,yes,medium,poor,cloud computing,BPA,Technical,smart worker,UX Designer
excellent,4,medium,excellent,yes,excellent,excellent,system developer,Finance,Technical,hard worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,medium,no,excellent,poor,cloud computing,Service Based,Management,smart worker,Network Security Engineer
excellent,3,poor,poor,yes,excellent,medium,security,Sales and Marketing,Technical,smart worker,CRM Technical Developer
medium,2,medium,medium,no,excellent,excellent,developer,Finance,Technical,hard worker,Technical Support
medium,2,excellent,poor,yes,excellent,poor,cloud computing,Product based,Management,smart worker,Applications Developer
medium,3,poor,excellent,yes,poor,poor,Business process analyst,Finance,Technical,hard worker,Technical Support
excellent,4,excellent,poor,no,excellent,medium,system developer,Service Based,Management,hard worker,CRM Technical Developer
poor,3,excellent,excellent,no,medium,medium,security,BPA,Management,hard worker,UX Designer
medium,5,poor,excellent,no,poor,excellent,developer,Finance,Management,smart worker,Web Developer
medium,4,poor,medium,yes,excellent,poor,developer,Product based,Technical,smart worker,UX Designer
excellent,6,medium,excellent,no,medium,medium,security,SAaS services,Management,hard worker,Applications Developer
poor,5,excellent,poor,yes,poor,poor,system developer,Web Services,Management,hard worker,Software Developer
medium,3,poor,medium,yes,poor,poor,developer,SAaS services,Technical,smart worker,Applications Developer
medium,4,medium,medium,yes,medium,excellent,Business process analyst,Sales and Marketing,Management,smart worker,Software Developer
medium,1,medium,poor,yes,poor,poor,Business process analyst,Cloud Services,Management,hard worker,Software Developer
excellent,3,medium,medium,yes,excellent,excellent,system developer,product development,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,poor,medium,yes,excellent,medium,Business process analyst,BPA,Technical,smart worker,UX Designer
medium,1,excellent,medium,yes,poor,poor,Business process analyst,product development,Technical,smart worker,Applications Developer
medium,3,poor,poor,yes,excellent,medium,cloud computing,Testing and Maintainance Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,6,excellent,excellent,no,medium,medium,system developer,Product based,Technical,smart worker,Database Developer
excellent,2,medium,medium,yes,poor,medium,developer,Testing and Maintainance Services,Management,hard worker,CRM Technical Developer
poor,2,medium,poor,yes,medium,poor,security,SAaS services,Technical,hard worker,Applications Developer
medium,3,medium,medium,yes,poor,medium,developer,Testing and Maintainance Services,Management,smart worker,Software Engineer
poor,6,medium,poor,no,excellent,excellent,security,BPA,Technical,hard worker,Software Developer
medium,0,poor,medium,yes,poor,excellent,Business process analyst,Finance,Technical,smart worker,Web Developer
medium,3,excellent,medium,no,excellent,excellent,security,Product based,Management,hard worker,Applications Developer
poor,0,excellent,excellent,yes,excellent,poor,developer,Web Services,Management,smart worker,Software Developer
poor,0,poor,excellent,no,medium,poor,system developer,Cloud Services,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,4,medium,poor,yes,poor,medium,security,SAaS services,Technical,smart worker,Systems Security Administrator
excellent,1,poor,medium,yes,excellent,excellent,testing,product development,Management,hard worker,Applications Developer
medium,3,medium,excellent,no,poor,medium,cloud computing,Web Services,Management,smart worker,Technical Support
excellent,3,medium,excellent,yes,medium,medium,cloud computing,Cloud Services,Technical,hard worker,CRM Technical Developer
poor,4,medium,poor,yes,poor,poor,security,Testing and Maintainance Services,Technical,smart worker,Software Engineer
poor,6,medium,poor,yes,poor,poor,testing,SAaS services,Technical,smart worker,Database Developer
medium,6,excellent,medium,no,medium,poor,system developer,Sales and Marketing,Technical,hard worker,UX Designer
excellent,3,excellent,medium,yes,poor,poor,cloud computing,Product based,Management,hard worker,Web Developer
medium,4,poor,excellent,no,excellent,excellent,cloud computing,BPA,Management,smart worker,CRM Technical Developer
excellent,0,medium,poor,yes,medium,excellent,testing,Web Services,Technical,smart worker,Applications Developer
excellent,0,excellent,poor,yes,poor,medium,system developer,Web Services,Technical,smart worker,Network Security Engineer
medium,1,poor,excellent,no,medium,excellent,cloud computing,Service Based,Technical,smart worker,Database Developer
poor,6,medium,poor,no,excellent,medium,security,Cloud Services,Management,smart worker,Network Security Engineer
poor,5,excellent,medium,no,excellent,poor,security,BPA,Technical,hard worker,UX Designer
medium,1,medium,poor,yes,excellent,excellent,testing,BPA,Technical,hard worker,UX Designer
medium,3,poor,excellent,yes,excellent,excellent,developer,Web Services,Management,smart worker,UX Designer
poor,5,excellent,medium,no,medium,poor,system developer,Finance,Technical,smart worker,UX Designer
excellent,6,poor,poor,yes,excellent,excellent,testing,product development,Technical,hard worker,Mobile Applications Developer
medium,6,poor,medium,yes,poor,poor,Business process analyst,Cloud Services,Management,smart worker,CRM Technical Developer
poor,4,poor,medium,no,medium,poor,Business process analyst,Web Services,Management,smart worker,Web Developer
poor,0,medium,poor,no,medium,poor,system developer,SAaS services,Management,hard worker,UX Designer
excellent,3,poor,excellent,yes,excellent,medium,testing,Testing and Maintainance Services,Technical,smart worker,Database Developer
excellent,4,medium,poor,yes,poor,poor,security,Web Services,Technical,hard worker,UX Designer
poor,2,medium,medium,yes,poor,medium,testing,Product based,Management,smart worker,UX Designer
excellent,5,excellent,excellent,yes,poor,poor,testing,Web Services,Management,hard worker,Software Developer
excellent,6,excellent,poor,no,medium,medium,testing,Cloud Services,Technical,smart worker,Mobile Applications Developer
medium,1,medium,poor,no,poor,excellent,Business process analyst,BPA,Technical,hard worker,Web Developer
excellent,2,poor,excellent,yes,excellent,poor,cloud computing,Product based,Management,smart worker,Systems Security Administrator
medium,3,poor,poor,no,medium,excellent,testing,Web Services,Management,hard worker,Applications Developer
excellent,0,medium,medium,yes,poor,excellent,developer,product development,Management,smart worker,Mobile Applications Developer
excellent,5,medium,medium,no,excellent,medium,cloud computing,product development,Technical,hard worker,Database Developer
poor,2,excellent,excellent,yes,medium,excellent,system developer,Product based,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,3,medium,excellent,no,medium,poor,system developer,SAaS services,Management,smart worker,Software Developer
medium,5,medium,excellent,no,excellent,medium,Business process analyst,Cloud Services,Technical,hard worker,Web Developer
medium,1,poor,excellent,no,medium,medium,system developer,SAaS services,Technical,smart worker,Applications Developer
excellent,0,poor,medium,no,poor,poor,developer,SAaS services,Technical,smart worker,Web Developer
poor,5,excellent,excellent,yes,poor,medium,developer,Sales and Marketing,Management,smart worker,Web Developer
poor,0,poor,excellent,yes,poor,medium,Business process analyst,Testing and Maintainance Services,Technical,smart worker,Applications Developer
medium,3,poor,poor,no,excellent,medium,system developer,Web Services,Management,hard worker,Mobile Applications Developer
poor,4,medium,medium,yes,excellent,excellent,developer,Service Based,Management,hard worker,CRM Technical Developer
poor,6,poor,poor,no,medium,poor,system developer,Sales and Marketing,Technical,smart worker,Technical Support
medium,0,poor,poor,no,excellent,medium,system developer,Cloud Services,Management,hard worker,Web Developer
excellent,1,medium,excellent,yes,medium,medium,system developer,Cloud Services,Technical,smart worker,Network Security Engineer
poor,1,excellent,poor,yes,medium,medium,Business process analyst,Web Services,Technical,smart worker,UX Designer
poor,1,medium,poor,no,excellent,excellent,developer,Sales and Marketing,Management,smart worker,Web Developer
poor,4,poor,medium,no,excellent,excellent,cloud computing,BPA,Technical,smart worker,Web Developer
poor,6,excellent,poor,no,medium,medium,cloud computing,product development,Management,hard worker,Software Developer
excellent,2,excellent,poor,yes,excellent,poor,cloud computing,Product based,Management,smart worker,Database Developer
excellent,1,poor,poor,no,poor,medium,Business process analyst,BPA,Technical,smart worker,Software Engineer
excellent,4,medium,excellent,yes,excellent,excellent,developer,Service Based,Management,smart worker,Systems Security Administrator
medium,5,medium,excellent,no,poor,excellent,system developer,Sales and Marketing,Technical,smart worker,Software Developer
poor,6,excellent,poor,no,poor,poor,cloud computing,Testing and Maintainance Services,Technical,hard worker,Systems Security Administrator
poor,4,poor,excellent,yes,poor,poor,security,Service Based,Technical,hard worker,UX Designer
excellent,5,excellent,poor,no,poor,excellent,testing,SAaS services,Management,hard worker,Database Developer
excellent,3,excellent,poor,no,medium,poor,testing,Cloud Services,Management,hard worker,Applications Developer
excellent,0,poor,medium,no,excellent,medium,Business process analyst,Cloud Services,Management,smart worker,Applications Developer
medium,5,excellent,excellent,yes,poor,excellent,system developer,Sales and Marketing,Management,smart worker,Technical Support
excellent,0,medium,poor,yes,medium,poor,cloud computing,Cloud Services,Management,smart worker,Web Developer
medium,1,poor,excellent,yes,poor,medium,testing,Finance,Technical,hard worker,Web Developer
medium,0,excellent,excellent,yes,medium,poor,system developer,Finance,Management,smart worker,Web Developer
medium,4,medium,poor,no,poor,medium,system developer,Testing and Maintainance Services,Technical,smart worker,Applications Developer
medium,5,medium,medium,yes,excellent,excellent,Business process analyst,Service Based,Management,hard worker,Software Developer
poor,6,poor,medium,yes,excellent,poor,testing,Service Based,Technical,hard worker,UX Designer
medium,0,excellent,excellent,yes,poor,excellent,Business process analyst,Testing and Maintainance Services,Management,smart worker,UX Designer
excellent,0,poor,medium,no,poor,poor,developer,Web Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,2,excellent,poor,yes,excellent,medium,security,SAaS services,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,5,excellent,poor,yes,poor,poor,system developer,Product based,Management,smart worker,Mobile Applications Developer
excellent,6,poor,medium,yes,medium,poor,Business process analyst,Cloud Services,Technical,hard worker,UX Designer
poor,2,poor,poor,yes,medium,excellent,Business process analyst,Web Services,Management,smart worker,UX Designer
excellent,6,medium,poor,no,medium,poor,cloud computing,Testing and Maintainance Services,Technical,hard worker,Database Developer
medium,0,medium,medium,no,excellent,poor,developer,Sales and Marketing,Technical,hard worker,Applications Developer
medium,0,poor,medium,no,excellent,excellent,cloud computing,Testing and Maintainance Services,Technical,smart worker,Software Engineer
medium,4,medium,poor,yes,medium,poor,cloud computing,Product based,Management,hard worker,Network Security Engineer
excellent,4,poor,excellent,no,poor,excellent,testing,product development,Management,smart worker,Database Developer
poor,3,medium,poor,yes,excellent,excellent,testing,SAaS services,Management,smart worker,Network Security Engineer
poor,1,poor,excellent,yes,medium,poor,system developer,Finance,Technical,hard worker,Web Developer
medium,0,medium,poor,yes,excellent,medium,Business process analyst,Sales and Marketing,Technical,smart worker,Software Developer
excellent,4,poor,excellent,yes,excellent,excellent,cloud computing,Service Based,Management,hard worker,Web Developer
medium,4,excellent,poor,no,excellent,medium,Business process analyst,Web Services,Management,smart worker,UX Designer
medium,1,poor,poor,no,excellent,medium,developer,BPA,Technical,smart worker,Systems Security Administrator
poor,0,medium,excellent,yes,medium,poor,cloud computing,Testing and Maintainance Services,Management,hard worker,Mobile Applications Developer
poor,6,poor,excellent,no,excellent,excellent,security,BPA,Management,smart worker,Software Engineer
excellent,1,medium,poor,yes,medium,excellent,system developer,Web Services,Management,hard worker,Systems Security Administrator
medium,4,poor,poor,no,excellent,excellent,security,Finance,Technical,hard worker,Mobile Applications Developer
poor,5,poor,medium,yes,medium,poor,developer,Sales and Marketing,Technical,smart worker,Technical Support
excellent,1,excellent,medium,no,excellent,poor,system developer,BPA,Management,smart worker,UX Designer
excellent,6,poor,excellent,no,excellent,medium,security,Web Services,Technical,smart worker,UX Designer
medium,4,poor,medium,no,poor,medium,Business process analyst,Product based,Management,hard worker,Applications Developer
poor,4,poor,poor,yes,poor,medium,developer,Service Based,Management,smart worker,Applications Developer
medium,3,medium,excellent,yes,poor,medium,developer,Cloud Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,poor,no,poor,poor,Business process analyst,Cloud Services,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,0,excellent,poor,no,poor,poor,system developer,product development,Technical,smart worker,Software Engineer
excellent,0,medium,excellent,yes,excellent,medium,testing,Web Services,Management,hard worker,Applications Developer
poor,6,excellent,poor,yes,medium,medium,testing,Finance,Technical,hard worker,Applications Developer
medium,4,poor,excellent,yes,poor,excellent,developer,Service Based,Technical,smart worker,Database Developer
poor,6,poor,excellent,yes,medium,poor,testing,Service Based,Management,hard worker,Database Developer
excellent,4,medium,excellent,yes,excellent,poor,cloud computing,BPA,Management,smart worker,Network Security Engineer
poor,6,medium,medium,no,excellent,medium,testing,Product based,Management,smart worker,CRM Technical Developer
excellent,5,medium,poor,yes,poor,excellent,system developer,Cloud Services,Technical,smart worker,Software Engineer
excellent,5,excellent,excellent,no,medium,medium,testing,SAaS services,Management,smart worker,Applications Developer
poor,3,excellent,medium,yes,poor,excellent,Business process analyst,Product based,Technical,smart worker,Mobile Applications Developer
